wm_poi_id,provider_id,lead_tag,status,modifier,ctime,shop_name,contact_phone,city_area,provider_name
POI0000000001,PRV000042,待跟进,已联系,孙八,1754261865,小李蛋糕店,18122247923,石景山区,饿了么金牌服务商
POI0000000002,PRV000058,老客户,已联系,张三,1768431465,周记快餐店,15399859962,武侯区,数字营销服务商
POI0000000003,PRV000053,流失客户,已联系,孙八,1761519465,褚氏披萨店(龙岗区店),17678991687,东城区,本地生活服务商
POI0000000004,PRV000034,流失客户,已流失,李四,1740610665,李姐包子铺,17139969260,丰台区,美团优选服务商
POI0000000005,PRV000017,待跟进,已签约,赵六,1743807465,郑氏洗衣店(徐汇区店),15503212543,浦东新区,数字营销服务商
POI0000000006,PRV000040,新客户,已流失,王五,1745881065,陈家粥铺(宝安区店),19926854173,西城区,本地生活服务商
POI0000000007,PRV000038,老客户,已流失,郑小明,1769727465,孙记洗衣店,17559522329,静安区,饿了么金牌服务商
POI0000000008,PRV000042,潜在客户,待联系,钱七,1750546665,吴家奶茶店,18525228039,南山区,本地生活服务商
POI0000000009,PRV000031,流失客户,待联系,李小华,1754780265,张记面馆,18216591393,龙岗区,商户运营服务商
POI0000000010,PRV000044,高价值客户,已流失,陈小强,1743029865,赵哥药店,15300182706,西城区,本地生活服务商
POI0000000011,PRV000036,潜在客户,意向中,张三,1757631465,刘氏咖啡厅,19198671273,福田区,饿了么金牌服务商
POI0000000012,PRV000061,老客户,已流失,周九,1753225065,陈家洗衣店,19734967344,龙岗区,数字营销服务商
POI0000000013,PRV000023,待跟进,已联系,周九,1766703465,刘氏冒菜店,18272788228,荔湾区,饿了么金牌服务商
POI0000000014,PRV000024,待跟进,已流失,吴十,1747177065,李姐烤肉店,18874715128,南山区,商户运营服务商
POI0000000015,PRV000060,新客户,待联系,赵六,1758409065,王妈超市,19857745537,西城区,本地生活服务商
POI0000000016,PRV000022,潜在客户,意向中,陈小强,1750373865,冯记奶茶店,13868782370,丰台区,美团优选服务商
POI0000000017,PRV000074,潜在客户,已签约,李四,1764457065,卫家药店,17265143240,福田区,商户运营服务商
POI0000000018,PRV000097,流失客户,待联系,王小红,1770505065,钱家冒菜店,15859950745,西城区,美团优选服务商
POI0000000019,PRV000009,高价值客户,已流失,郑小明,1746140265,周记面馆,18558945803,宝安区,本地生活服务商
POI0000000020,PRV000055,潜在客户,已流失,赵六,1748645865,卫家水果店,18113899999,福田区,数字营销服务商
POI0000000021,PRV000029,高价值客户,已流失,王五,1741301865,周记米线店,17486614363,福田区,美团优选服务商
POI0000000022,PRV000066,流失客户,意向中,王五,1747349865,钱家粥铺,18319869143,石景山区,本地生活服务商
POI0000000023,PRV000061,潜在客户,已流失,赵六,1761260265,老王包子铺(东城区店),17604742452,静安区,品牌推广服务商
POI0000000024,PRV000087,新客户,已流失,王小红,1760137065,张记粥铺,17870453250,长宁区,饿了么金牌服务商
